,date,state,name,wholesalePrice,retailPrice,shoppingmallPrice,units,image
671,2024-05-13,New Delhi,Colocasia,29,33 - 37,35 - 48,1kg,resource/images/vegetables/colocasia-64.png
672,2024-05-13,New Delhi,Coriander Leaves,9,10 - 11,11 - 15,1kg,resource/images/vegetables/corianderleaves-64.png
673,2024-05-13,New Delhi,Corn,25,29 - 32,30 - 41,1kg,resource/images/vegetables/corn-64.png
674,2024-05-13,New Delhi,Cucumber,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cucumber-64.png
675,2024-05-13,New Delhi,Curry Leaves,28,32 - 36,34 - 46,1kg,resource/images/vegetables/curryleaves-64.png
676,2024-05-13,New Delhi,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
677,2024-05-13,New Delhi,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
678,2024-05-13,New Delhi,Brinjal,26,30 - 33,31 - 43,1kg,resource/images/vegetables/brinjal-64.png
679,2024-05-13,New Delhi,Brinjal (Big),22,25 - 28,26 - 36,1kg,resource/images/vegetables/brinjalbig-64.png
680,2024-05-13,New Delhi,Elephant Yam,25,29 - 32,30 - 41,1kg,resource/images/vegetables/elephantyam-64.png
681,2024-05-13,New Delhi,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
682,2024-05-13,New Delhi,French Beans,55,63 - 70,66 - 91,1kg,resource/images/vegetables/frenchbeans-64.png
683,2024-05-13,New Delhi,Garlic,154,177 - 196,185 - 254,1kg,resource/images/vegetables/garlic-64.png
684,2024-05-13,New Delhi,Ginger,107,123 - 136,128 - 177,1kg,resource/images/vegetables/ginger-64.png
685,2024-05-13,New Delhi,Onion Green,38,44 - 48,46 - 63,1kg,resource/images/vegetables/oniongreen-64.png
686,2024-05-13,New Delhi,Green Peas,40,46 - 51,48 - 66,1kg,resource/images/vegetables/greenpeas-64.png
687,2024-05-13,New Delhi,Ivy Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/ivygourd-64.png
688,2024-05-13,New Delhi,Lemon (Lime),65,75 - 83,78 - 107,1kg,resource/images/vegetables/lemon-64.png
689,2024-05-13,New Delhi,Mango Raw,29,33 - 37,35 - 48,1kg,resource/images/vegetables/mangoraw-64.png
690,2024-05-13,New Delhi,Mint Leaves,4,5 - 5,5 - 7,1kg,resource/images/vegetables/mintleaves-64.png
691,2024-05-13,New Delhi,Mushroom,94,108 - 119,113 - 155,1kg,resource/images/vegetables/mushroom-64.png
692,2024-05-13,New Delhi,Mustard Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/mustardleaves-64.png
693,2024-05-13,New Delhi,Ladies Finger,37,43 - 47,44 - 61,1kg,resource/images/vegetables/ladiesfinger-64.png
694,2024-05-13,New Delhi,Pumpkin,22,25 - 28,26 - 36,1kg,resource/images/vegetables/pumpkin-64.png
695,2024-05-13,New Delhi,Radish,26,30 - 33,31 - 43,1kg,resource/images/vegetables/radish-64.png
696,2024-05-13,New Delhi,Ridge Gourd,30,35 - 38,36 - 50,1kg,resource/images/vegetables/ridgegourd-64.png
697,2024-05-13,New Delhi,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,resource/images/vegetables/shallot-64.png
698,2024-05-13,New Delhi,Snake Gourd,28,32 - 36,34 - 46,1kg,resource/images/vegetables/snakegourd-64.png
699,2024-05-13,New Delhi,Sorrel Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/sorrelleaves-64.png
700,2024-05-13,New Delhi,Spinach,13,15 - 17,16 - 21,1kg,resource/images/vegetables/spinach-64.png
701,2024-05-13,New Delhi,Sweet Potato,39,45 - 50,47 - 64,1kg,resource/images/vegetables/sweetpotato-64.png
702,2024-05-14,New Delhi,Onion Big,27,31 - 34,32 - 45,1kg,resource/images/vegetables/onionbig-64.png
703,2024-05-14,New Delhi,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
704,2024-05-14,New Delhi,Tomato,25,29 - 32,30 - 41,1kg,resource/images/vegetables/tomato-64.png
705,2024-05-14,New Delhi,Green Chilli,44,51 - 56,53 - 73,1kg,resource/images/vegetables/greenchili-64.png
706,2024-05-14,New Delhi,Beetroot,34,39 - 43,41 - 56,1kg,resource/images/vegetables/beetroot-64.png
707,2024-05-14,New Delhi,Potato,27,31 - 34,32 - 45,1kg,resource/images/vegetables/potato-64.png
708,2024-05-14,New Delhi,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
709,2024-05-14,New Delhi,Amaranth Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/amaranthleaves-64.png
710,2024-05-14,New Delhi,Amla,60,69 - 76,72 - 99,1kg,resource/images/vegetables/amla-64.png
711,2024-05-14,New Delhi,Ash gourd,16,18 - 20,19 - 26,1kg,resource/images/vegetables/ashgourd-64.png
712,2024-05-14,New Delhi,Baby Corn,48,55 - 61,58 - 79,1kg,resource/images/vegetables/babycorn-64.png
713,2024-05-14,New Delhi,Banana Flower,15,17 - 19,18 - 25,1kg,resource/images/vegetables/bananaflower-64.png
714,2024-05-14,New Delhi,Capsicum,50,58 - 64,60 - 83,1kg,resource/images/vegetables/capsicum-64.png
715,2024-05-14,New Delhi,Bitter Gourd,30,35 - 38,36 - 50,1kg,resource/images/vegetables/bittergourd-64.png
716,2024-05-14,New Delhi,Bottle Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/bottlegourd-64.png
717,2024-05-14,New Delhi,Butter Beans,47,54 - 60,56 - 78,1kg,resource/images/vegetables/butterbeans-64.png
718,2024-05-14,New Delhi,Broad Beans,27,31 - 34,32 - 45,1kg,resource/images/vegetables/broadbeans-64.png
719,2024-05-14,New Delhi,Cabbage,18,21 - 23,22 - 30,1kg,resource/images/vegetables/cabbage-64.png
720,2024-05-14,New Delhi,Carrot,46,53 - 58,55 - 76,1kg,resource/images/vegetables/carrot-64.png
721,2024-05-14,New Delhi,Cauliflower,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cauliflower-64.png
722,2024-05-14,New Delhi,Cluster beans,42,48 - 53,50 - 69,1kg,resource/images/vegetables/clusterbeans-64.png
723,2024-05-14,New Delhi,Coconut,37,43 - 47,44 - 61,1kg,resource/images/vegetables/coconut-64.png
724,2024-05-14,New Delhi,Colocasia Leaves,17,20 - 22,20 - 28,1kg,resource/images/vegetables/colocasialeaves-64.png
725,2024-05-14,New Delhi,Colocasia,29,33 - 37,35 - 48,1kg,resource/images/vegetables/colocasia-64.png
726,2024-05-14,New Delhi,Coriander Leaves,9,10 - 11,11 - 15,1kg,resource/images/vegetables/corianderleaves-64.png
727,2024-05-14,New Delhi,Corn,25,29 - 32,30 - 41,1kg,resource/images/vegetables/corn-64.png
728,2024-05-14,New Delhi,Cucumber,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cucumber-64.png
729,2024-05-14,New Delhi,Curry Leaves,28,32 - 36,34 - 46,1kg,resource/images/vegetables/curryleaves-64.png
730,2024-05-14,New Delhi,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
731,2024-05-14,New Delhi,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
732,2024-05-14,New Delhi,Brinjal,26,30 - 33,31 - 43,1kg,resource/images/vegetables/brinjal-64.png
733,2024-05-14,New Delhi,Brinjal (Big),22,25 - 28,26 - 36,1kg,resource/images/vegetables/brinjalbig-64.png
734,2024-05-14,New Delhi,Elephant Yam,25,29 - 32,30 - 41,1kg,resource/images/vegetables/elephantyam-64.png
735,2024-05-14,New Delhi,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
736,2024-05-14,New Delhi,French Beans,55,63 - 70,66 - 91,1kg,resource/images/vegetables/frenchbeans-64.png
737,2024-05-14,New Delhi,Garlic,154,177 - 196,185 - 254,1kg,resource/images/vegetables/garlic-64.png
738,2024-05-14,New Delhi,Ginger,107,123 - 136,128 - 177,1kg,resource/images/vegetables/ginger-64.png
739,2024-05-14,New Delhi,Onion Green,38,44 - 48,46 - 63,1kg,resource/images/vegetables/oniongreen-64.png
740,2024-05-14,New Delhi,Green Peas,40,46 - 51,48 - 66,1kg,resource/images/vegetables/greenpeas-64.png
741,2024-05-14,New Delhi,Ivy Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/ivygourd-64.png
742,2024-05-14,New Delhi,Lemon (Lime),65,75 - 83,78 - 107,1kg,resource/images/vegetables/lemon-64.png
743,2024-05-14,New Delhi,Mango Raw,29,33 - 37,35 - 48,1kg,resource/images/vegetables/mangoraw-64.png
744,2024-05-14,New Delhi,Mint Leaves,4,5 - 5,5 - 7,1kg,resource/images/vegetables/mintleaves-64.png
745,2024-05-14,New Delhi,Mushroom,94,108 - 119,113 - 155,1kg,resource/images/vegetables/mushroom-64.png
746,2024-05-14,New Delhi,Mustard Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/mustardleaves-64.png
747,2024-05-14,New Delhi,Ladies Finger,37,43 - 47,44 - 61,1kg,resource/images/vegetables/ladiesfinger-64.png
748,2024-05-14,New Delhi,Pumpkin,22,25 - 28,26 - 36,1kg,resource/images/vegetables/pumpkin-64.png
749,2024-05-14,New Delhi,Radish,26,30 - 33,31 - 43,1kg,resource/images/vegetables/radish-64.png
750,2024-05-14,New Delhi,Ridge Gourd,30,35 - 38,36 - 50,1kg,resource/images/vegetables/ridgegourd-64.png
751,2024-05-14,New Delhi,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,resource/images/vegetables/shallot-64.png
752,2024-05-14,New Delhi,Snake Gourd,28,32 - 36,34 - 46,1kg,resource/images/vegetables/snakegourd-64.png
753,2024-05-14,New Delhi,Sorrel Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/sorrelleaves-64.png
754,2024-05-14,New Delhi,Spinach,13,15 - 17,16 - 21,1kg,resource/images/vegetables/spinach-64.png
755,2024-05-14,New Delhi,Sweet Potato,39,45 - 50,47 - 64,1kg,resource/images/vegetables/sweetpotato-64.png
756,2024-05-15,New Delhi,Onion Big,24,28 - 30,29 - 40,1kg,resource/images/vegetables/onionbig-64.png
757,2024-05-15,New Delhi,Onion Small,38,44 - 48,46 - 63,1kg,resource/images/vegetables/onionsmall-64.png
758,2024-05-15,New Delhi,Tomato,25,29 - 32,30 - 41,1kg,resource/images/vegetables/tomato-64.png
759,2024-05-15,New Delhi,Green Chilli,69,79 - 88,83 - 114,1kg,resource/images/vegetables/greenchili-64.png
760,2024-05-15,New Delhi,Beetroot,40,46 - 51,48 - 66,1kg,resource/images/vegetables/beetroot-64.png
761,2024-05-15,New Delhi,Potato,35,40 - 44,42 - 58,1kg,resource/images/vegetables/potato-64.png
762,2024-05-15,New Delhi,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,resource/images/vegetables/plantain-64.png
763,2024-05-15,New Delhi,Amaranth Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/amaranthleaves-64.png
764,2024-05-15,New Delhi,Amla,60,69 - 76,72 - 99,1kg,resource/images/vegetables/amla-64.png
765,2024-05-15,New Delhi,Ash gourd,19,22 - 24,23 - 31,1kg,resource/images/vegetables/ashgourd-64.png
766,2024-05-15,New Delhi,Baby Corn,61,70 - 77,73 - 101,1kg,resource/images/vegetables/babycorn-64.png
767,2024-05-15,New Delhi,Banana Flower,19,22 - 24,23 - 31,1kg,resource/images/vegetables/bananaflower-64.png
768,2024-05-15,New Delhi,Capsicum,43,49 - 55,52 - 71,1kg,resource/images/vegetables/capsicum-64.png
769,2024-05-15,New Delhi,Bitter Gourd,33,38 - 42,40 - 54,1kg,resource/images/vegetables/bittergourd-64.png
770,2024-05-15,New Delhi,Bottle Gourd,33,38 - 42,40 - 54,1kg,resource/images/vegetables/bottlegourd-64.png
771,2024-05-15,New Delhi,Butter Beans,53,61 - 67,64 - 87,1kg,resource/images/vegetables/butterbeans-64.png
772,2024-05-15,New Delhi,Broad Beans,75,86 - 95,90 - 124,1kg,resource/images/vegetables/broadbeans-64.png
773,2024-05-15,New Delhi,Cabbage,28,32 - 36,34 - 46,1kg,resource/images/vegetables/cabbage-64.png
774,2024-05-15,New Delhi,Carrot,47,54 - 60,56 - 78,1kg,resource/images/vegetables/carrot-64.png
775,2024-05-15,New Delhi,Cauliflower,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cauliflower-64.png
776,2024-05-15,New Delhi,Cluster beans,43,49 - 55,52 - 71,1kg,resource/images/vegetables/clusterbeans-64.png
777,2024-05-15,New Delhi,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
778,2024-05-15,New Delhi,Colocasia Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/colocasialeaves-64.png
779,2024-05-15,New Delhi,Colocasia,25,29 - 32,30 - 41,1kg,resource/images/vegetables/colocasia-64.png
780,2024-05-15,New Delhi,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
781,2024-05-15,New Delhi,Corn,32,37 - 41,38 - 53,1kg,resource/images/vegetables/corn-64.png
782,2024-05-15,New Delhi,Cucumber,28,32 - 36,34 - 46,1kg,resource/images/vegetables/cucumber-64.png
783,2024-05-15,New Delhi,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
784,2024-05-15,New Delhi,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
785,2024-05-15,New Delhi,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
786,2024-05-15,New Delhi,Brinjal,37,43 - 47,44 - 61,1kg,resource/images/vegetables/brinjal-64.png
787,2024-05-15,New Delhi,Brinjal (Big),32,37 - 41,38 - 53,1kg,resource/images/vegetables/brinjalbig-64.png
788,2024-05-15,New Delhi,Elephant Yam,34,39 - 43,41 - 56,1kg,resource/images/vegetables/elephantyam-64.png
789,2024-05-15,New Delhi,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/fenugreekleaves-64.png
790,2024-05-15,New Delhi,French Beans,169,194 - 215,203 - 279,1kg,resource/images/vegetables/frenchbeans-64.png
791,2024-05-15,New Delhi,Garlic,253,291 - 321,304 - 417,1kg,resource/images/vegetables/garlic-64.png
792,2024-05-15,New Delhi,Ginger,105,121 - 133,126 - 173,1kg,resource/images/vegetables/ginger-64.png
793,2024-05-15,New Delhi,Onion Green,39,45 - 50,47 - 64,1kg,resource/images/vegetables/oniongreen-64.png
794,2024-05-15,New Delhi,Green Peas,48,55 - 61,58 - 79,1kg,resource/images/vegetables/greenpeas-64.png
795,2024-05-15,New Delhi,Ivy Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/ivygourd-64.png
796,2024-05-15,New Delhi,Lemon (Lime),95,109 - 121,114 - 157,1kg,resource/images/vegetables/lemon-64.png
797,2024-05-15,New Delhi,Mango Raw,29,33 - 37,35 - 48,1kg,resource/images/vegetables/mangoraw-64.png
798,2024-05-15,New Delhi,Mint Leaves,4,5 - 5,5 - 7,1kg,resource/images/vegetables/mintleaves-64.png
799,2024-05-15,New Delhi,Mushroom,74,85 - 94,89 - 122,1kg,resource/images/vegetables/mushroom-64.png
800,2024-05-15,New Delhi,Mustard Leaves,18,21 - 23,22 - 30,1kg,resource/images/vegetables/mustardleaves-64.png
801,2024-05-15,New Delhi,Ladies Finger,40,46 - 51,48 - 66,1kg,resource/images/vegetables/ladiesfinger-64.png
802,2024-05-15,New Delhi,Pumpkin,18,21 - 23,22 - 30,1kg,resource/images/vegetables/pumpkin-64.png
803,2024-05-15,New Delhi,Radish,31,36 - 39,37 - 51,1kg,resource/images/vegetables/radish-64.png
804,2024-05-15,New Delhi,Ridge Gourd,36,41 - 46,43 - 59,1kg,resource/images/vegetables/ridgegourd-64.png
805,2024-05-15,New Delhi,Shallot (Pearl Onion),34,39 - 43,41 - 56,1kg,resource/images/vegetables/shallot-64.png
806,2024-05-15,New Delhi,Snake Gourd,33,38 - 42,40 - 54,1kg,resource/images/vegetables/snakegourd-64.png
807,2024-05-15,New Delhi,Sorrel Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/sorrelleaves-64.png
808,2024-05-15,New Delhi,Spinach,14,16 - 18,17 - 23,1kg,resource/images/vegetables/spinach-64.png
809,2024-05-15,New Delhi,Sweet Potato,37,43 - 47,44 - 61,1kg,resource/images/vegetables/sweetpotato-64.png
810,2024-05-16,New Delhi,Onion Big,24,28 - 30,29 - 40,1kg,resource/images/vegetables/onionbig-64.png
811,2024-05-16,New Delhi,Onion Small,38,44 - 48,46 - 63,1kg,resource/images/vegetables/onionsmall-64.png
812,2024-05-16,New Delhi,Tomato,25,29 - 32,30 - 41,1kg,resource/images/vegetables/tomato-64.png
813,2024-05-16,New Delhi,Green Chilli,69,79 - 88,83 - 114,1kg,resource/images/vegetables/greenchili-64.png
814,2024-05-16,New Delhi,Beetroot,40,46 - 51,48 - 66,1kg,resource/images/vegetables/beetroot-64.png
815,2024-05-16,New Delhi,Potato,35,40 - 44,42 - 58,1kg,resource/images/vegetables/potato-64.png
816,2024-05-16,New Delhi,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,resource/images/vegetables/plantain-64.png
817,2024-05-16,New Delhi,Amaranth Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/amaranthleaves-64.png
818,2024-05-16,New Delhi,Amla,60,69 - 76,72 - 99,1kg,resource/images/vegetables/amla-64.png
819,2024-05-16,New Delhi,Ash gourd,19,22 - 24,23 - 31,1kg,resource/images/vegetables/ashgourd-64.png
820,2024-05-16,New Delhi,Baby Corn,61,70 - 77,73 - 101,1kg,resource/images/vegetables/babycorn-64.png
821,2024-05-16,New Delhi,Banana Flower,19,22 - 24,23 - 31,1kg,resource/images/vegetables/bananaflower-64.png
822,2024-05-16,New Delhi,Capsicum,43,49 - 55,52 - 71,1kg,resource/images/vegetables/capsicum-64.png
823,2024-05-16,New Delhi,Bitter Gourd,33,38 - 42,40 - 54,1kg,resource/images/vegetables/bittergourd-64.png
824,2024-05-16,New Delhi,Bottle Gourd,33,38 - 42,40 - 54,1kg,resource/images/vegetables/bottlegourd-64.png
825,2024-05-16,New Delhi,Butter Beans,53,61 - 67,64 - 87,1kg,resource/images/vegetables/butterbeans-64.png
826,2024-05-16,New Delhi,Broad Beans,75,86 - 95,90 - 124,1kg,resource/images/vegetables/broadbeans-64.png
827,2024-05-16,New Delhi,Cabbage,28,32 - 36,34 - 46,1kg,resource/images/vegetables/cabbage-64.png
828,2024-05-16,New Delhi,Carrot,47,54 - 60,56 - 78,1kg,resource/images/vegetables/carrot-64.png
829,2024-05-16,New Delhi,Cauliflower,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cauliflower-64.png
830,2024-05-16,New Delhi,Cluster beans,43,49 - 55,52 - 71,1kg,resource/images/vegetables/clusterbeans-64.png
831,2024-05-16,New Delhi,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
832,2024-05-16,New Delhi,Colocasia Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/colocasialeaves-64.png
833,2024-05-16,New Delhi,Colocasia,25,29 - 32,30 - 41,1kg,resource/images/vegetables/colocasia-64.png
834,2024-05-16,New Delhi,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
835,2024-05-16,New Delhi,Corn,32,37 - 41,38 - 53,1kg,resource/images/vegetables/corn-64.png
836,2024-05-16,New Delhi,Cucumber,28,32 - 36,34 - 46,1kg,resource/images/vegetables/cucumber-64.png
837,2024-05-16,New Delhi,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
838,2024-05-16,New Delhi,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
839,2024-05-16,New Delhi,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
840,2024-05-16,New Delhi,Brinjal,37,43 - 47,44 - 61,1kg,resource/images/vegetables/brinjal-64.png
841,2024-05-16,New Delhi,Brinjal (Big),32,37 - 41,38 - 53,1kg,resource/images/vegetables/brinjalbig-64.png
842,2024-05-16,New Delhi,Elephant Yam,34,39 - 43,41 - 56,1kg,resource/images/vegetables/elephantyam-64.png
843,2024-05-16,New Delhi,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/fenugreekleaves-64.png
844,2024-05-16,New Delhi,French Beans,169,194 - 215,203 - 279,1kg,resource/images/vegetables/frenchbeans-64.png
845,2024-05-16,New Delhi,Garlic,253,291 - 321,304 - 417,1kg,resource/images/vegetables/garlic-64.png
846,2024-05-16,New Delhi,Ginger,105,121 - 133,126 - 173,1kg,resource/images/vegetables/ginger-64.png
847,2024-05-16,New Delhi,Onion Green,39,45 - 50,47 - 64,1kg,resource/images/vegetables/oniongreen-64.png
848,2024-05-16,New Delhi,Green Peas,48,55 - 61,58 - 79,1kg,resource/images/vegetables/greenpeas-64.png
849,2024-05-16,New Delhi,Ivy Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/ivygourd-64.png
850,2024-05-16,New Delhi,Lemon (Lime),95,109 - 121,114 - 157,1kg,resource/images/vegetables/lemon-64.png
851,2024-05-16,New Delhi,Mango Raw,29,33 - 37,35 - 48,1kg,resource/images/vegetables/mangoraw-64.png
852,2024-05-16,New Delhi,Mint Leaves,4,5 - 5,5 - 7,1kg,resource/images/vegetables/mintleaves-64.png
853,2024-05-16,New Delhi,Mushroom,74,85 - 94,89 - 122,1kg,resource/images/vegetables/mushroom-64.png
854,2024-05-16,New Delhi,Mustard Leaves,18,21 - 23,22 - 30,1kg,resource/images/vegetables/mustardleaves-64.png
855,2024-05-16,New Delhi,Ladies Finger,40,46 - 51,48 - 66,1kg,resource/images/vegetables/ladiesfinger-64.png
856,2024-05-16,New Delhi,Pumpkin,18,21 - 23,22 - 30,1kg,resource/images/vegetables/pumpkin-64.png
857,2024-05-16,New Delhi,Radish,31,36 - 39,37 - 51,1kg,resource/images/vegetables/radish-64.png
858,2024-05-16,New Delhi,Ridge Gourd,36,41 - 46,43 - 59,1kg,resource/images/vegetables/ridgegourd-64.png
859,2024-05-16,New Delhi,Shallot (Pearl Onion),34,39 - 43,41 - 56,1kg,resource/images/vegetables/shallot-64.png
860,2024-05-16,New Delhi,Snake Gourd,33,38 - 42,40 - 54,1kg,resource/images/vegetables/snakegourd-64.png
861,2024-05-16,New Delhi,Sorrel Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/sorrelleaves-64.png
862,2024-05-16,New Delhi,Spinach,14,16 - 18,17 - 23,1kg,resource/images/vegetables/spinach-64.png
863,2024-05-16,New Delhi,Sweet Potato,37,43 - 47,44 - 61,1kg,resource/images/vegetables/sweetpotato-64.png
864,2024-05-17,New Delhi,Onion Big,27,31 - 34,32 - 45,1kg,resource/images/vegetables/onionbig-64.png
865,2024-05-17,New Delhi,Onion Small,34,39 - 43,41 - 56,1kg,resource/images/vegetables/onionsmall-64.png
866,2024-05-17,New Delhi,Tomato,21,24 - 27,25 - 35,1kg,resource/images/vegetables/tomato-64.png
867,2024-05-17,New Delhi,Green Chilli,63,72 - 80,76 - 104,1kg,resource/images/vegetables/greenchili-64.png
868,2024-05-17,New Delhi,Beetroot,36,41 - 46,43 - 59,1kg,resource/images/vegetables/beetroot-64.png
869,2024-05-17,New Delhi,Potato,32,37 - 41,38 - 53,1kg,resource/images/vegetables/potato-64.png
870,2024-05-17,New Delhi,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
871,2024-05-17,New Delhi,Amaranth Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/amaranthleaves-64.png
872,2024-05-17,New Delhi,Amla,60,69 - 76,72 - 99,1kg,resource/images/vegetables/amla-64.png
873,2024-05-17,New Delhi,Ash gourd,21,24 - 27,25 - 35,1kg,resource/images/vegetables/ashgourd-64.png
874,2024-05-17,New Delhi,Baby Corn,60,69 - 76,72 - 99,1kg,resource/images/vegetables/babycorn-64.png
875,2024-05-17,New Delhi,Banana Flower,16,18 - 20,19 - 26,1kg,resource/images/vegetables/bananaflower-64.png
876,2024-05-17,New Delhi,Capsicum,44,51 - 56,53 - 73,1kg,resource/images/vegetables/capsicum-64.png
877,2024-05-17,New Delhi,Bitter Gourd,31,36 - 39,37 - 51,1kg,resource/images/vegetables/bittergourd-64.png
878,2024-05-17,New Delhi,Bottle Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bottlegourd-64.png
879,2024-05-17,New Delhi,Butter Beans,55,63 - 70,66 - 91,1kg,resource/images/vegetables/butterbeans-64.png
880,2024-05-17,New Delhi,Broad Beans,70,81 - 89,84 - 116,1kg,resource/images/vegetables/broadbeans-64.png
881,2024-05-17,New Delhi,Cabbage,30,35 - 38,36 - 50,1kg,resource/images/vegetables/cabbage-64.png
882,2024-05-17,New Delhi,Carrot,41,47 - 52,49 - 68,1kg,resource/images/vegetables/carrot-64.png
883,2024-05-17,New Delhi,Cauliflower,24,28 - 30,29 - 40,1kg,resource/images/vegetables/cauliflower-64.png
884,2024-05-17,New Delhi,Cluster beans,43,49 - 55,52 - 71,1kg,resource/images/vegetables/clusterbeans-64.png
885,2024-05-17,New Delhi,Coconut,37,43 - 47,44 - 61,1kg,resource/images/vegetables/coconut-64.png
886,2024-05-17,New Delhi,Colocasia Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/colocasialeaves-64.png
887,2024-05-17,New Delhi,Colocasia,28,32 - 36,34 - 46,1kg,resource/images/vegetables/colocasia-64.png
888,2024-05-17,New Delhi,Coriander Leaves,9,10 - 11,11 - 15,1kg,resource/images/vegetables/corianderleaves-64.png
889,2024-05-17,New Delhi,Corn,34,39 - 43,41 - 56,1kg,resource/images/vegetables/corn-64.png
890,2024-05-17,New Delhi,Cucumber,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cucumber-64.png
891,2024-05-17,New Delhi,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
892,2024-05-17,New Delhi,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
893,2024-05-17,New Delhi,Drumsticks,30,35 - 38,36 - 50,1kg,resource/images/vegetables/drumsticks-64.png
894,2024-05-17,New Delhi,Brinjal,38,44 - 48,46 - 63,1kg,resource/images/vegetables/brinjal-64.png
895,2024-05-17,New Delhi,Brinjal (Big),34,39 - 43,41 - 56,1kg,resource/images/vegetables/brinjalbig-64.png
896,2024-05-17,New Delhi,Elephant Yam,36,41 - 46,43 - 59,1kg,resource/images/vegetables/elephantyam-64.png
897,2024-05-17,New Delhi,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/fenugreekleaves-64.png
898,2024-05-17,New Delhi,French Beans,168,193 - 213,202 - 277,1kg,resource/images/vegetables/frenchbeans-64.png
899,2024-05-17,New Delhi,Garlic,273,314 - 347,328 - 450,1kg,resource/images/vegetables/garlic-64.png
900,2024-05-17,New Delhi,Ginger,131,151 - 166,157 - 216,1kg,resource/images/vegetables/ginger-64.png
901,2024-05-17,New Delhi,Onion Green,39,45 - 50,47 - 64,1kg,resource/images/vegetables/oniongreen-64.png
902,2024-05-17,New Delhi,Green Peas,41,47 - 52,49 - 68,1kg,resource/images/vegetables/greenpeas-64.png
903,2024-05-17,New Delhi,Ivy Gourd,28,32 - 36,34 - 46,1kg,resource/images/vegetables/ivygourd-64.png
